HFSS Mesh Statistics
  Project:           Q4_mimo2x2_c0_v8_HIPOTESE
  Design:            HFSS_ENZ_Q4_mimo2x2_c0_v8
  Solution setup:    Setup_Q4_MIMO2X2
  Design variation:  altura_interna_wr28='7.1100000000000003mm' cavidade_area_plana='108mm2' cavidade_comprimento_interno_exploratorio='18mm' cavidade_largura_interna_exploratoria='6mm' chanfro='3mm' comprimento_total_eixo_y='27mm' corpo_altura_externa='11.109999999999999mm' corpo_comprimento_externo='36mm' corpo_largura_externa_exploratoria='9mm' degrau_altura='1mm' degrau_largura='9mm' espessura_fundo_exploratoria='3mm' espessura_parede_lateral='1mm' espessura_tampa='1mm' flange_comprimento_exploratorio='4mm' flange_largura='22.5mm' fr4_dimensao_x='3mm' fr4_dimensao_y='1.6499999999999999mm' fr4_epsilon_r_exploratorio='4.4000000000000004' fr4_tan_delta_exploratorio='0.02' frequencia_adaptativa='25.870000000000001GHz' frequencia_sweep_fim='27GHz' frequencia_sweep_inicio='25GHz' largura_interna_wr28='3.5600000000000001mm' parafuso_diametro_exploratorio='2mm' pino_diametro='1mm' pino_offset_x_exploratorio='2mm' pino_offset_y_exploratorio='1.325mm' plano_porta_y='-18mm' q4_branch_length='19.995624227766882mm' q4_external_port_y='-62.990154512475485mm' q4_frequency='25.870000000000001GHz' q4_input_length='19.995624227766882mm' q4_interpair_spacing='96mm' q4_junction_length='4.9989060569417205mm' q4_lambda_g='19.995624227766882mm' q4_pair_spacing='42mm' q4_wg_a_z='7.1100000000000003mm' q4_wg_b_x='3.5600000000000001mm' ranhura_comprimento='5.6600000000000001mm' ranhura_largura='0.80000000000000004mm' ranhura_passo_exploratorio='4mm'

Total number of mesh elements: 830889
                      |     Num Tets  | Min edge length  | Max edge length  | RMS edge length  |     Min tet vol  |     Max tet vol  |    Mean tet vol  |  Std Devn (vol)  |
   MountHole_L_RAD_A2 |          304  |        0.410753  |         5.88256  |         2.46866  |     0.000971001  |        0.970921  |        0.113899  |        0.158965  |
   MountHole_R_RAD_A2 |          311  |        0.765367  |          6.1236  |         2.46244  |     0.000971001  |        0.975648  |        0.111335  |        0.150877  |
    Rod_PEC_NE_RAD_A2 |          555  |        0.254444  |          1.4823  |        0.910364  |     0.000548325  |       0.0527928  |      0.00980497  |       0.0083203  |
    Rod_PEC_NW_RAD_A2 |          570  |        0.369264  |         1.32944  |        0.848352  |     9.75762e-05  |       0.0525393  |      0.00954694  |      0.00853569  |
    Rod_PEC_SE_RAD_A2 |          590  |        0.348137  |         1.34045  |        0.850752  |     0.000454637  |       0.0674176  |      0.00922332  |      0.00865573  |
    Rod_PEC_SW_RAD_A2 |          591  |        0.347616  |         1.40495  |        0.855702  |     0.000631265  |       0.0493862  |      0.00920771  |      0.00740276  |
    Cavity_Air_RAD_B1 |        43130  |        0.190646  |         1.29858  |        0.809026  |     0.000329051  |        0.176787  |        0.028557  |       0.0240929  |
      FR4_Slab_RAD_B1 |        26401  |         0.17653  |        0.384601  |        0.291861  |     0.000247221  |      0.00348675  |      0.00133307  |     0.000453626  |
Housing_Cavity_RAD_B1 |        19539  |        0.191393  |          7.3901  |         1.62169  |     0.000372016  |         13.9022  |        0.205345  |        0.601968  |
   MountHole_L_RAD_B1 |          280  |        0.765367  |         6.65433  |         2.64435  |     0.000971001  |         1.72165  |        0.123661  |        0.205637  |
   MountHole_R_RAD_B1 |          348  |        0.562166  |         5.22752  |          2.1946  |     0.000971001  |        0.874218  |       0.0994977  |        0.132115  |
    Rod_PEC_NE_RAD_B1 |          574  |        0.255992  |         1.29625  |        0.869169  |     0.000590229  |       0.0508583  |      0.00948042  |      0.00815263  |
    Rod_PEC_NW_RAD_B1 |          589  |        0.373108  |         1.44885  |        0.869835  |     0.000515921  |       0.0571878  |      0.00923898  |      0.00791304  |
    Rod_PEC_SE_RAD_B1 |          618  |        0.334426  |         1.30338  |        0.825849  |     8.20451e-05  |       0.0569725  |      0.00880543  |      0.00815947  |
    Rod_PEC_SW_RAD_B1 |          559  |         0.28962  |         1.44077  |        0.865985  |     0.000502183  |       0.0883295  |      0.00973481  |      0.00790238  |
    Cavity_Air_RAD_B2 |        42558  |        0.178588  |         1.30982  |        0.810963  |     0.000238013  |         0.14909  |       0.0289408  |       0.0242724  |
      FR4_Slab_RAD_B2 |        26664  |        0.178103  |        0.395642  |        0.291588  |     0.000247101  |      0.00381351  |      0.00131993  |     0.000453133  |
Housing_Cavity_RAD_B2 |        19717  |        0.191267  |         9.48968  |         1.64464  |     0.000354407  |         18.5706  |        0.203491  |        0.581302  |
   MountHole_L_RAD_B2 |          326  |        0.765367  |         5.99224  |         2.40211  |     0.000971001  |        0.934206  |        0.106212  |        0.163571  |
   MountHole_R_RAD_B2 |          303  |        0.765367  |         6.06156  |         2.57826  |     0.000971001  |         1.11775  |        0.114275  |        0.160404  |
    Rod_PEC_NE_RAD_B2 |          654  |        0.334807  |         1.75157  |        0.795009  |     0.000234065  |       0.0424532  |      0.00832073  |      0.00586544  |
    Rod_PEC_NW_RAD_B2 |          561  |        0.343259  |         1.57583  |        0.867212  |     0.000317889  |       0.0631867  |       0.0097001  |      0.00917958  |
    Rod_PEC_SE_RAD_B2 |          550  |        0.315026  |         1.48347  |        0.825168  |     0.000243302  |         0.05763  |      0.00989411  |      0.00704984  |
    Rod_PEC_SW_RAD_B2 |          555  |        0.346419  |          1.6202  |        0.908398  |     0.000302547  |         0.04828  |      0.00980497  |      0.00757439  |
     WG_A_Housing_PEC |        45901  |        0.420982  |         9.62293  |         1.84564  |      0.00317558  |         45.6007  |        0.449549  |         1.84981  |
             WG_A_Air |       116396  |        0.284188  |         1.30921  |         0.79368  |      0.00102463  |        0.139679  |       0.0269568  |       0.0188905  |
     WG_B_Housing_PEC |        45934  |        0.402715  |         9.31417  |         1.84616  |      0.00316215  |          52.078  |        0.449226  |          1.8982  |
             WG_B_Air |       116677  |        0.257075  |          1.3061  |        0.792981  |      0.00120737  |        0.138392  |       0.0268919  |       0.0189024  |
       Open_Region_Q4 |       138849  |        0.328293  |         8.05356  |         4.47502  |      0.00110499  |         27.7892  |         5.09974  |         4.21736  |

 |
