"altura_interna_wr28 [mm]","cavidade_area_plana [mm2]","cavidade_comprimento_interno_exploratorio [mm]","cavidade_largura_interna_exploratoria [mm]","chanfro [mm]","comprimento_total_eixo_y [mm]","corpo_altura_externa [mm]","corpo_comprimento_externo [mm]","corpo_largura_externa_exploratoria [mm]","degrau_altura [mm]","degrau_largura [mm]","espessura_fundo_exploratoria [mm]","espessura_parede_lateral [mm]","espessura_tampa [mm]","flange_comprimento_exploratorio [mm]","flange_largura [mm]","fr4_dimensao_x [mm]","fr4_dimensao_y [mm]","fr4_epsilon_r_exploratorio []","fr4_tan_delta_exploratorio []","frequencia_adaptativa [GHz]","frequencia_sweep_fim [GHz]","frequencia_sweep_inicio [GHz]","largura_interna_wr28 [mm]","parafuso_diametro_exploratorio [mm]","pino_diametro [mm]","pino_offset_x_exploratorio [mm]","pino_offset_y_exploratorio [mm]","plano_porta_y [mm]","q4_branch_length [mm]","q4_external_port_y [mm]","q4_frequency [GHz]","q4_input_length [mm]","q4_interpair_spacing [mm]","q4_junction_length [mm]","q4_lambda_g [mm]","q4_pair_spacing [mm]","q4_wg_a_z [mm]","q4_wg_b_x [mm]","ranhura_comprimento [mm]","ranhura_largura [mm]","ranhura_passo_exploratorio [mm]","Freq [GHz]","dB(S(P1_WG_A,P1_WG_A)) []","dB(S(P1_WG_A,P2_WG_B)) []","dB(S(P2_WG_B,P1_WG_A)) []","dB(S(P2_WG_B,P2_WG_B)) []"
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.25,-0.401756601930957,-68.7930108129612,-68.7930108129615,-0.397289761410029
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.275,-0.442494253275592,-67.8950135324119,-67.8950135324124,-0.438238240377813
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.3,-0.491329934076242,-67.0053687890831,-67.0053687890837,-0.487455860126008
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.325,-0.550671278089304,-66.1366582393685,-66.1366582393692,-0.547408855391696
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.35,-0.623978314558097,-65.282368410626,-65.2823684106265,-0.621637893931528
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.375,-0.71627706937308,-64.4171233692061,-64.4171233692064,-0.715283665494296
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.4,-0.83495982740938,-63.502325326659,-63.5023253266591,-0.835905466557282
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.425,-0.990993136607593,-62.495458699576,-62.4954586995761,-0.994713768027174
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.45,-1.20055691561205,-61.3621082781483,-61.3621082781483,-1.20822757182053
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.475,-1.48647967161912,-60.0929932957513,-60.0929932957512,-1.49965581716205
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.5,-1.87599851508332,-58.731947223868,-58.731947223868,-1.8962763656221
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.525,-2.38175834465579,-57.4206886851206,-57.4206886851207,-2.40898599660181
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.55,-2.93389986884571,-56.4497447180109,-56.4497447180112,-2.96121376485556
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.575,-3.26875790899772,-56.2490539413719,-56.2490539413724,-3.2795057926452
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.6,-3.06130239239914,-57.1993034410003,-57.1993034410007,-3.0475387960889
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.625,-2.41500718732818,-59.3249715908959,-59.3249715908961,-2.39184833384049
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.65,-1.72676018771714,-62.2477330331196,-62.2477330331196,-1.70787447806234
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.675,-1.19824040309005,-65.4787297366541,-65.4787297366539,-1.186168871466
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.7,-0.83686763612356,-68.6637508582484,-68.6637508582481,-0.82986756632269
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.725,-0.596699863749986,-71.6227092631436,-71.6227092631433,-0.59282284683166
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.75,-0.435940651473522,-74.2957959632856,-74.2957959632854,-0.43386781340768
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.775,-0.32612779324358,-76.6875542754743,-76.6875542754744,-0.325073630455518
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.8,-0.249288976624659,-78.8310069356208,-78.8310069356211,-0.248803497918459
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.825,-0.194216599534729,-80.7683488578697,-80.7683488578704,-0.19404440900885
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.85,-0.153845925555724,-82.5416124810952,-82.5416124810962,-0.153842076236653
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.875,-0.12363589506703,-84.1886487632124,-84.1886487632136,-0.123718040145777
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.9,-0.10060186347477,-85.7417188647314,-85.7417188647327,-0.100723301647398
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.925,-0.0827376909538859,-87.2272345168634,-87.2272345168651,-0.0828721189056562
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.95,-0.0686657776734472,-88.6658799921539,-88.6658799921557,-0.0687985999041959
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.975,-0.05742112059788,-90.0727185227598,-90.0727185227615,-0.0575444644380603
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26,-0.0483153070965051,-91.4570902147299,-91.4570902147316,-0.0484251533467933
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.025,-0.0408490781012471,-92.8222566681164,-92.8222566681179,-0.0409436103393176
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.05,-0.0346550000228647,-94.1649271534229,-94.1649271534241,-0.034733659868011
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.075,-0.0294591870818154,-95.4750822396481,-95.4750822396488,-0.0295221392215812
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.1,-0.0250553278625351,-96.7368920645489,-96.7368920645495,-0.0251031625684312
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.125,-0.0212868290374096,-97.931798670411,-97.9317986704112,-0.0213204018110705
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.15,-0.0180344400573586,-99.0444724975005,-99.0444724975003,-0.0180547902648527
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.175,-0.015207685750917,-100.070872117604,-100.070872117604,-0.0152160011391907
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.2,-0.0127390518537843,-101.025621239607,-101.025621239607,-0.0127366608702842
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.225,-0.0105802862733716,-101.945470921465,-101.945470921465,-0.0105686693272204
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.25,-0.00870048832724181,-102.888172989473,-102.888172989475,-0.00868130506476127
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.275,-0.00708592562209054,-103.929843230807,-103.929843230809,-0.0070610595330589
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.3,-0.00574180391991288,-105.165825864426,-105.165825864429,-0.00571342923583068
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.325,-0.00469659280746329,-106.720328113558,-106.720328113562,-0.00466727257721547
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.35,-0.00401009384738784,-108.772616945354,-108.772616945358,-0.00398292315251522
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.375,-0.00378743477382108,-111.62068942165,-111.620689421655,-0.00376625032957607
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.4,-0.00420298756020765,-115.858483396877,-115.858483396881,-0.0041926758341529
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.425,-0.00554167697537416,-123.014473793292,-123.014473793296,-0.00554862918796569
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.45,-0.00827209196554391,-130.608195052273,-130.608195052266,-0.00830487731751133
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.475,-0.0131804152206638,-121.617800839103,-121.617800839107,-0.0132507708860039
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.5,-0.0216266095498323,-112.793906553574,-112.793906553573,-0.0217508560227397
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.525,-0.036060938953148,-104.309908874666,-104.309908874665,-0.0362618224518662
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.55,-0.0611337164038913,-96.8593631663168,-96.8593631663164,-0.0614420321620191
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.575,-0.106270194705794,-90.1111633813275,-90.1111633813276,-0.106722522986701
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.6,-0.192227166725182,-83.6646185857097,-83.66461858571,-0.192842140575617
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.625,-0.369730721365432,-77.1778443274881,-77.1778443274884,-0.370377397007626
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.65,-0.778963893544971,-70.3683100272093,-70.3683100272096,-0.778657124854027
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.675,-1.84661707757101,-63.2229516134101,-63.2229516134103,-1.83966199944656
